lat,lon,temp2m,tmpc,mcap,mcap size
40,-77,59.21977051,15.12209473,17.20002344,Medium
40,-76,60.22919434,15.68288574,17.83052771,Medium
40,-75,62.48402832,16.93557129,19.31259024,Large
40,-74,63.88608521,17.71449178,20.28758922,Large
40,-73,64.21587646,17.89770915,20.5230921,Large
40,-72,64.42450684,18.01361491,20.67330721,Large
40,-71,64.91922119,18.28845622,21.03335752,Large
41,-77,57.04054077,13.91141154,15.90510029,Medium
41,-76,57.7183606,14.28797811,16.29837945,Medium
41,-75,58.80340698,14.89078166,16.94570496,Medium
41,-74,60.70384033,15.94657796,18.13393833,Large
41,-73,64.17945679,17.87747599,20.49696791,Large
41,-72,63.48252075,17.49028931,20.00262687,Large
41,-71,63.78497437,17.65831909,20.21586182,Large
42,-77,53.19686401,11.77603556,13.82850456,Small
42,-76,54.79574097,12.66430054,14.66143783,Medium
42,-75,56.05299805,13.36277669,15.34702169,Medium
42,-74,57.75752686,14.30973714,16.3213626,Medium
42,-73,60.77398804,15.98554891,18.17916085,Large
42,-72,62.52046631,16.95581462,19.33740028,Large
42,-71,64.6103772,18.11687622,20.80794477,Large
43,-77,49.78778809,9.882104492,12.19004761,Small
43,-76,51.73830078,10.96572266,13.10522349,Small
43,-75,53.80817993,12.11565552,14.14192601,Medium
43,-74,55.99830444,13.33239136,15.31662202,Medium
43,-73,58.4727002,14.70705566,16.74606216,Medium
43,-72,60.50160034,15.83422241,18.00411054,Large
43,-71,63.18821533,17.3267863,19.79702978,Large
44,-77,47.88733643,8.826298014,11.35290224,Small
44,-76,49.81873291,9.899296061,12.20411619,Small
44,-75,51.31285522,10.72936401,12.90061425,Small
44,-74,53.4720166,11.92889811,13.96881186,Small
44,-73,57.03418701,13.90788167,15.9014535,Medium
44,-72,57.12074097,13.9559672,15.95119484,Medium
44,-71,58.03720215,14.4651123,16.48630684,Medium
45,-77,46.03976563,7.799869792,10.58797388,Small
45,-76,48.67904785,9.266137695,11.69529315,Small
45,-75,50.77989014,10.4332723,12.64826117,Small
45,-74,52.88622559,11.60345866,13.67159122,Small
45,-73,56.47388428,13.59660238,15.5827348,Medium
45,-72,56.42558105,13.56976725,15.55552267,Medium
45,-71,56.13499268,13.40832926,15.39269495,Medium
46,-77,41.87450073,5.48583374,9.027681994,Small
46,-76,44.1994458,6.777469889,9.87152654,Small
46,-75,46.35225342,7.973474121,10.71406923,Small
46,-74,48.89132202,9.38406779,11.78862553,Small
46,-73,54.44589966,12.46994425,14.47551701,Medium
46,-72,55.45715454,13.03175252,15.01867795,Medium
46,-71,55.42163208,13.01201782,14.99929932,Medium
