lat,lon,temp2m,tmpc,mcap,mcap size
40,-77,58,14,16,Medium
40,-76,59,15,17,Medium
40,-75,62,17,19,Large
40,-74,63,17,20,Large
40,-73,64,18,20,Large
40,-72,64,18,21,Large
40,-71,65,18,21,Large
41,-77,53,12,14,Small
41,-76,54,12,15,Medium
41,-75,56,14,15,Medium
41,-74,59,15,17,Medium
41,-73,64,18,20,Large
41,-72,63,17,20,Large
41,-71,64,18,20,Large
42,-77,48,9,11,Small
42,-76,49,9,12,Small
42,-75,51,11,13,Small
42,-74,54,12,14,Medium
42,-73,60,15,18,Medium
42,-72,62,17,19,Large
42,-71,65,18,21,Large
43,-77,46,8,11,Small
43,-76,46,8,11,Small
43,-75,48,9,11,Small
43,-74,51,11,13,Small
43,-73,57,14,16,Medium
43,-72,60,15,17,Medium
43,-71,62,17,19,Large
44,-77,45,7,10,Small
44,-76,46,8,11,Small
44,-75,47,8,11,Small
44,-74,49,9,12,Small
44,-73,53,12,14,Small
44,-72,54,12,14,Medium
44,-71,55,13,15,Medium
45,-77,43,6,9,Small
45,-76,45,7,10,Small
45,-75,46,8,11,Small
45,-74,48,9,11,Small
45,-73,51,11,13,Small
45,-72,52,11,13,Small
45,-71,52,11,13,Small
46,-77,39,4,8,Small
46,-76,41,5,9,Small
46,-75,43,6,9,Small
46,-74,45,7,10,Small
46,-73,49,9,12,Small
46,-72,49,9,12,Small
46,-71,50,10,12,Small
