lat,lon,temp2m,tmpc,mcap,mcap size
40,-77,58,14.5855957,16.61521509,Medium
40,-76,59,15.25975952,17.352963,Medium
40,-75,61,16.17989502,18.40616183,Large
40,-74,63,17.3824707,19.86684143,Large
40,-73,63,17.3171936,19.78502512,Large
40,-72,63,17.24581299,19.69589673,Large
40,-71,63,17.3824707,19.86684143,Large
41,-77,57,14.01162109,16.00893553,Medium
41,-76,58,14.27584229,16.28557322,Medium
41,-75,59,14.95910034,17.02047292,Medium
41,-74,61,15.90657959,18.08762613,Large
41,-73,63,17.25036011,19.70156392,Large
41,-72,61,16.37578735,18.63747863,Large
41,-71,62,16.64302979,18.95715417,Large
42,-77,57,14.06630859,16.06585214,Medium
42,-76,57,13.88561401,15.87846521,Medium
42,-75,57,14.16195068,16.16581953,Medium
42,-74,59,14.87255249,16.92580371,Medium
42,-73,61,15.87166748,18.04728783,Large
42,-72,61,16.3666626,18.62664749,Large
42,-71,63,17.11675415,19.53564157,Large
43,-77,58,14.21358643,16.22001694,Medium
43,-76,57,14.10576782,16.10702995,Medium
43,-75,57,14.00252686,15.99948778,Medium
43,-74,58,14.32595215,16.33850832,Medium
43,-73,59,14.87560425,16.92913396,Medium
43,-72,60,15.51027832,17.63433961,Medium
43,-71,62,16.65667114,18.97360004,Large
44,-77,51,10.49807129,12.70311401,Small
44,-76,55,12.62078247,14.61962736,Medium
44,-75,56,13.48323975,15.46806332,Medium
44,-74,57,13.92052612,15.91452015,Medium
44,-73,58,14.32442627,16.33689418,Medium
44,-72,57,14.02376709,16.0215613,Medium
44,-71,57,14.14525757,16.14833228,Medium
45,-77,49,9.427575684,11.82322366,Small
45,-76,53,11.39846191,13.48723488,Small
45,-75,56,13.08995972,15.07596297,Medium
45,-74,57,14.14071045,16.14357172,Medium
45,-73,58,14.64632568,16.6805261,Medium
45,-72,57,13.97216187,15.96797785,Medium
45,-71,56,13.34807739,15.33230885,Medium
46,-77,46,7.579705811,10.42994077,Small
46,-76,48,9.158837891,11.61093922,Small
46,-75,52,10.8852478,13.03524068,Small
46,-74,55,12.6071106,14.60651358,Medium
46,-73,58,14.57952271,16.60869634,Medium
46,-72,58,14.22268066,16.22957883,Medium
46,-71,56,13.37389526,15.35815873,Medium
