lat,lon,temp2m,tmpc,mcap,mcap size
40,-77,52,11,13,Small
40,-76,53,12,14,Small
40,-75,55,13,15,Medium
40,-74,59,15,17,Medium
40,-73,62,16,19,Large
40,-72,63,17,20,Large
40,-71,64,18,20,Large
41,-77,47,8,11,Small
41,-76,47,8,11,Small
41,-75,48,9,12,Small
41,-74,51,11,13,Small
41,-73,60,15,18,Medium
41,-72,61,16,18,Large
41,-71,62,17,19,Large
42,-77,44,7,10,Small
42,-76,43,6,10,Small
42,-75,44,7,10,Small
42,-74,47,8,11,Small
42,-73,54,12,14,Medium
42,-72,58,15,17,Medium
42,-71,62,16,19,Large
43,-77,43,6,10,Small
43,-76,42,6,9,Small
43,-75,42,6,9,Small
43,-74,45,7,10,Small
43,-73,51,10,13,Small
43,-72,54,12,14,Medium
43,-71,58,14,16,Medium
44,-77,41,5,9,Small
44,-76,41,5,9,Small
44,-75,40,4,8,Small
44,-74,41,5,9,Small
44,-73,45,7,10,Small
44,-72,46,8,11,Small
44,-71,47,9,11,Small
45,-77,38,3,8,Small
45,-76,39,4,8,Small
45,-75,39,4,8,Small
45,-74,40,5,8,Small
45,-73,42,6,9,Small
45,-72,42,6,9,Small
45,-71,42,6,9,Small
46,-77,35,1,7,Small
46,-76,35,2,7,Small
46,-75,36,2,7,Small
46,-74,38,3,8,Small
46,-73,40,5,9,Small
46,-72,40,4,8,Small
46,-71,40,4,8,Small
